Value                 ,Footprint                                               ,Quantity ,Designator
MY-1220-03            ,BatteryHolder_LINX_BAT-HLD-012-SMT                      ,       1 ,BT1
100n/10V              ,0603                                                    ,       7 ,"C1, C10, C2, C21, C3, C4, C7"
22u/16V               ,0805                                                    ,       2 ,"C1, C2"
1uF/10V               ,0805                                                    ,       2 ,"C1, C2"
10p/10V               ,0603                                                    ,       2 ,"C11, C12"
22u/10V               ,0805                                                    ,       2 ,"C22, C23"
100nF/10V             ,0603                                                    ,       1 ,C3
10u/16V               ,0805                                                    ,       2 ,"C3, C4"
12p5/10V              ,0603                                                    ,       2 ,"C4, C5"
10u/10V               ,0805                                                    ,       1 ,C6
1u/10V                ,0603                                                    ,       2 ,"C8, C9"
KT-0603W              ,0603                                                    ,       1 ,D1
MM1Z4V7               ,D_SOD-123                                               ,       1 ,D1
SS54                  ,D_SMA                                                   ,       1 ,D1
KT-0603R              ,0603                                                    ,       1 ,D2
LED                   ,0603                                                    ,       2 ,"D2, D3"
19-217/BHC-ZL1M2RY/6T ,0603                                                    ,       1 ,D3
F0603FA0500V063TM     ,0603                                                    ,       1 ,F1
CFS06V3T1R0           ,0603                                                    ,       2 ,"F1,F1"
GZ1608D601TF          ,0603                                                    ,       1 ,FB1
DZ254W-11-06-65       ,PinHeader_1x06_P2.54mm_Horizontal                       ,       1 ,J1
B2B-PH-K-S            ,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical                   ,       2 ,"J1, J3"
TYPE-C16PIN           ,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal ,       2 ,"J2,J2"
B-2100S04P-A110       ,PinHeader_1x04_P2.54mm_Vertical                         ,       2 ,"J3, J4"
ZX-PZ2.54-1-6PZZ      ,PinHeader_1x06_P2.54mm_Vertical                         ,       1 ,J5
MDA7030-150M          ,L_Sunlord_MWSA0603S                                     ,       1 ,L1
750k                  ,0603                                                    ,       1 ,R1
10k                   ,0603                                                    ,       1 ,R1
100R                  ,0603                                                    ,       2 ,"R10, R11"
1k5                   ,0603                                                    ,       1 ,R12
100k                  ,0603                                                    ,       1 ,R2
4k7                   ,0603                                                    ,       6 ,"R2, R3,R1, R2, R3, R4"
4k                    ,0603                                                    ,       1 ,R3
1k                    ,0603                                                    ,       1 ,R4
5k1                   ,0603                                                    ,       4 ,"R4, R5,R6, R7"
330R                  ,0603                                                    ,       3 ,"R6, R7, R8"
1M                    ,0603                                                    ,       2 ,"R9,R8"
STM32F103C8T6         ,LQFP-48_7x7mm_P0.5mm                                    ,       1 ,U1
MT3608                ,SOT-23-6                                                ,       1 ,U1
PCF8563T              ,SOIC-8_3.9x4.9mm_P1.27mm                                ,       1 ,U2
TP4057                ,SOT-23-6                                                ,       1 ,U2
HDC1080DMBR           ,Texas_PWSON-N6                                          ,       1 ,U2
XC6206P332MR-G        ,SOT-23-3                                                ,       1 ,U3
AMS1117-3.3           ,SOT-223-3_TabPin2                                       ,       1 ,U3
SRV05-4               ,SOT-23-6                                                ,       1 ,U5
X322516MLB4SI         ,Crystal_SMD_3225-4Pin_3.2x2.5mm                         ,       1 ,Y1
Q13FC13500004         ,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm        ,       1 ,Y1
