Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C21, C3, C4, C7",0603,7,100n/10V,
"C11, C12",0603,2,10p/10V,
"C22, C23",0805,2,22u/10V,
C6,0805,1,10u/10V,
"C8, C9",0603,2,1u/10V,
D1,0603,1,KT-0603W,
D2,0603,1,KT-0603R,
D3,0603,1,19-217/BHC-ZL1M2RY/6T,
F1,1206,1,JFC1206-1100FS,
FB1,1206,1,GZ1608D601TF,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,TYPE-C16PIN,
"J3, J4",PinHeader_1x04_P2.54mm_Vertical,2,B-2100S04P-A110,
J5,PinHeader_1x06_P2.54mm_Vertical,1,ZX-PZ2.54-1-6PZZ,
R1,0603,1,10k,
"R2, R3",0603,2,4k7,
"R4, R5",0603,2,5k1,
"R6, R7, R8",0603,3,330R,
R9,0603,1,1M,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,Texas_PWSON-N6,1,HDC1080DMBR,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,SOT-23-6,1,SRV05-4,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MLB4SI,
