Designator,Mid X,Mid Y,Rotation,Layer
C1,154.6375,-58.75,90.0,top
C2,163.1375,-59.550001,180.0,top
C3,167.975002,-65.5,90.0,top
C4,170.875002,-61.799999,0.0,top
D1,163.1375,-64.300001,270.0,top
D2,174.75,-64.5,0.0,top
D3,174.750002,-66.0,0.0,top
F1,174.75,-67.500001,0.0,top
J1,156.5,-71.3,0.0,top
J2,181.89,-62.5,90.0,top
J3,165.25,-71.3,0.0,top
L1,156.775,-64.350002,0.0,top
R1,165.75,-59.0,90.0,top
R2,167.25,-59.0,270.0,top
R3,174.75,-61.5,0.0,top
R4,174.75,-63.0,0.0,top
R6,171.0,-59.0,90.0,top
R7,169.5,-59.0,270.0,top
R8,172.5,-59.0,270.0,top
U1,158.6375,-58.800001,0.0,top
U2,170.875002,-64.999999,90.0,top
