Designator,Mid X,Mid Y,Rotation,Layer
C1,185.0,-87.75,90.0,top
C10,187.0,-98.75,90.0,top
C11,182.5,-89.5,270.0,top
C12,182.5,-92.75,90.0,top
C2,197.5,-89.0,270.0,top
C21,177.8,-99.85,90.0,top
C22,207.0,-95.25,270.0,top
C23,198.850001,-100.0,0.0,top
C3,188.75,-85.5,0.0,top
C4,194.75,-98.0,0.0,top
C6,195.0,-100.0,0.0,top
C7,185.0,-93.25,90.0,top
C8,182.5,-95.75,180.0,top
C9,182.5,-97.4,180.0,top
D1,188.0,-101.25,0.0,top
D2,191.5,-101.25,0.0,top
D3,184.5,-101.25,0.0,top
F1,205.5,-90.5,0.0,top
FB1,185.0,-96.5,270.0,top
J2,213.0,-86.0,90.0,top
J3,174.75,-91.0,180.0,bottom
J4,195.75,-82.25,90.0,top
J5,181.19,-82.25,90.0,top
R1,195.75,-85.75,270.0,top
R10,197.5,-85.75,90.0,top
R11,199.25,-85.75,90.0,top
R12,199.25,-89.0,270.0,top
R2,177.75,-86.0,90.0,top
R3,179.5,-86.0,90.0,top
R4,202.3,-82.25,270.0,top
R5,204.05,-82.25,90.0,top
R6,192.25,-98.75,270.0,top
R7,190.5,-98.75,270.0,top
R8,188.75,-98.75,270.0,top
R9,205.8,-82.25,270.0,top
U1,191.25,-91.75,270.0,top
U2,175.05,-99.85,90.0,top
U3,201.25,-95.25,0.0,top
U5,205.5,-86.5,0.0,top
Y1,179.75,-91.25,90.0,top
